GEOID,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD06,HD01_VD07,HD01_VD10,HD01_VD11,HD01_VD14,HD01_VD15,HD01_VD18,HD01_VD19,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25,HD01_VD28,HD01_VD29,HD01_VD32,HD01_VD33,HD01_VD36,HD01_VD37,HD01_VD40,HD01_VD41,HD01_VD44,HD01_VD45,HD01_VD46
42101025800,705,477,25,21,68,41,61,15,161,55,162,10,0,228,76,76,68,68,20,20,30,0,24,0,6,4
42101025900,1968,1457,191,152,252,191,403,131,307,83,286,0,18,511,173,173,186,186,53,0,33,0,40,0,14,12
42101026000,1200,922,65,59,108,22,100,40,256,73,368,0,25,278,86,86,14,14,60,40,55,0,0,0,26,37
42101026100,1375,1069,114,98,158,104,174,119,225,84,364,0,34,306,68,68,59,59,85,24,33,0,52,0,0,9
42101026200,1801,1457,123,116,204,116,287,116,500,91,343,6,0,344,105,105,63,63,56,56,7,0,68,0,0,45
42101026301,1644,1209,189,167,205,113,220,159,319,41,232,22,44,435,135,135,92,61,48,15,58,19,72,0,9,21
42101026302,1897,1567,367,367,381,229,139,58,296,35,384,27,0,330,88,70,20,20,105,0,0,0,49,0,0,68
42101026400,2045,1616,316,297,332,180,228,111,321,76,369,20,50,429,172,172,94,80,0,0,83,0,58,0,0,22
42101026500,1634,1218,275,207,194,101,264,143,220,22,242,0,23,416,155,125,111,111,65,65,34,0,40,0,0,11
42101026600,2288,1785,381,298,188,120,404,197,292,75,485,44,35,503,253,203,85,68,7,7,50,15,33,0,0,75
